Sample_ID,Genome,Study,Country,Region,Year,Accession,Database,Continent,updated_arc,updated_Subtype
PE0134-C.g362,PE0134-C,1007-PF-TZ-DUFFY,Tanzania,Morogoro,2010,ERR439523,megaDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLz5-DBLe4,DBLa2-CIDRa1.8 head structure with DBLg4
PE0137-C.g92,PE0137-C,1007-PF-TZ-DUFFY,Tanzania,Morogoro,2010,ERR439532,megaDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRb5,DBLa2-CIDRa1.1 head structure with DBLg6
PE0138-C.g116,PE0138-C,1007-PF-TZ-DUFFY,Tanzania,Morogoro,2010,ERR449896,megaDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLz5-DBLe4,DBLa2-CIDRa1.8 head structure with DBLg4
PE0141-C.g277,PE0141-C,1007-PF-TZ-DUFFY,Tanzania,Morogoro,2010,ERR449902,megaDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLd5-CIDRb6,DBLa2-CIDRa1.8 head structure with DBLg4
PE0141-C.g364,PE0141-C,1007-PF-TZ-DUFFY,Tanzania,Morogoro,2010,ERR449902,megaDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRg2,DBLa2-CIDRa1.1 head structure with DBLg4
PE0141-C.g378,PE0141-C,1007-PF-TZ-DUFFY,Tanzania,Morogoro,2010,ERR449902,megaDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLd1-CIDRb1,DBLa2-CIDRa1.8 head structure with DBLg4
PE0145-C.g113,PE0145-C,1007-PF-TZ-DUFFY,Tanzania,Morogoro,2010,ERR439521,megaDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg6-DBLd4-CIDRg1-DBLz3-DBLe9,DBLa2-CIDRa1.8 head structure with DBLg6
PE0147-C.g151,PE0147-C,1007-PF-TZ-DUFFY,Tanzania,Tanga,2010,ERR439527,megaDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRb6,DBLa2-CIDRa1.1 head structure with DBLg4
PE0148-C.g239,PE0148-C,1007-PF-TZ-DUFFY,Tanzania,Morogoro,2010,ERR439530,megaDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRg1,DBLa2-CIDRa1.1 head structure with DBLg6
PF0006-C.g1867,PF0006-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2009,ERR199977,varDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLz4,DBLa2-CIDRa1.8 head structure with DBLg4
PF0010-C.g749,PF0010-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2009,ERR015349,varDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg4,DBLa2-CIDRa1.8 head structure with DBLg4
PF0021-C.g118,PF0021-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2009,ERR015316,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRb1,DBLa2-CIDRa1.1 head structure with DBLg4
PF0024-C.g593,PF0024-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2009,ERR018942,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg4,DBLa2-CIDRa1.1 head structure with DBLg4
PF0024-C.g629,PF0024-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2009,ERR018942,varDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg6,DBLa2-CIDRa1.8 head structure with DBLg6
PF0029-C.g271,PF0029-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2009,ERR020110,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRb5,DBLa2-CIDRa1.1 head structure with DBLg6
PF0030-C.g139,PF0030-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2009,ERR199970,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLz2-DBLe11-DBLe3,DBLa2-CIDRa1.1 head structure with DBLg4
PF0036-C.g878,PF0036-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2009,ERR018965,varDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg6-DBLd4-CIDRb2-DBLz6-DBLe9,DBLa2-CIDRa1.8 head structure with DBLg6
PF0037-C.g205,PF0037-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2009,ERR263689,varDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLz1-DBLe9,DBLa2-CIDRa1.8 head structure with DBLg4
PF0039-C.g535,PF0039-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2009,ERR023662,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd4-CIDRg1-DBLz6-DBLe9,DBLa2-CIDRa1.1 head structure with DBLg6
PF0043-C.g517,PF0043-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2009,ERR018943,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg4,DBLa2-CIDRa1.1 head structure with DBLg4
PF0045-C.g133,PF0045-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2009,ERR023677,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRg5,DBLa2-CIDRa1.1 head structure with DBLg6
PF0045-C.g207,PF0045-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2009,ERR023677,varDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLz1-DBLe6,DBLa2-CIDRa1.8 head structure with DBLg4
PF0045-C.g80,PF0045-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2009,ERR023677,varDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLd1-CIDRb6,DBLa2-CIDRa1.8 head structure with DBLg4
PF0048-C.g530,PF0048-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2009,ERR211486,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd4-CIDRg2,DBLa2-CIDRa1.1 head structure with DBLg6
PF0049-C.g1034,PF0049-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2009,ERR020111,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRb7,DBLa2-CIDRa1.1 head structure with DBLg4
PF0051-C.g774,PF0051-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2009,ERR018973,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg4,DBLa2-CIDRa1.1 head structure with DBLg4
PF0052-C.g198,PF0052-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2009,ERR211545,varDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLz5-DBLe4,DBLa2-CIDRa1.8 head structure with DBLg4
PF0053-C.g45,PF0053-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2009,ERR211546,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRb1,DBLa2-CIDRa1.1 head structure with DBLg4
PF0053-C.g61,PF0053-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2009,ERR211546,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRb1,DBLa2-CIDRa1.1 head structure with DBLg6
PF0064-C.g144,PF0064-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2009,ERR211542,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRb5,DBLa2-CIDRa1.1 head structure with DBLg6
PF0066-C.g155,PF0066-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2009,ERR211539,varDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLd1-CIDRb1,DBLa2-CIDRa1.8 head structure with DBLg4
PF0075-C.g1658,PF0075-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2009,ERR211487,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRb1,DBLa2-CIDRa1.1 head structure with DBLg4
PF0077-C.g313,PF0077-C,1017-PF-GH-AMENGA-ETEGO,n/a,n/a,,ERR020115,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRb1,DBLa2-CIDRa1.1 head structure with DBLg6
PF0079-C.g124,PF0079-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2009,ERR211488,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRg5,DBLa2-CIDRa1.1 head structure with DBLg4
PF0079-C.g235,PF0079-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2009,ERR211488,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRb1,DBLa2-CIDRa1.1 head structure with DBLg4
PF0081-C.g77,PF0081-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2009,ERR022860,varDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg6-DBLd1-CIDRb6,DBLa2-CIDRa1.8 head structure with DBLg6
PF0090-C.g289,PF0090-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2009,ERR018964,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRb1,DBLa2-CIDRa1.1 head structure with DBLg6
PF0102-C.g606,PF0102-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2009,ERR022533,varDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg6-DBLd1-CIDRb6,DBLa2-CIDRa1.8 head structure with DBLg6
PF0106-C.g132,PF0106-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2009,ERR263686,varDB,Africa,DBLa1.2-CIDRa1.1-DBLb12-DBLg6-DBLg10-DBLd1,DBLa1.2-CIDRa1.1 head structure with DBLg6
PF0106-C.g200,PF0106-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2009,ERR263686,varDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLz1-DBLe6,DBLa2-CIDRa1.8 head structure with DBLg4
PF0109-C.g442,PF0109-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2009,ERR023157,varDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLe14-DBLe3,DBLa2-CIDRa1.8 head structure with DBLg4
PF0112-C.g170,PF0112-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2009,ERR023158,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRb5,DBLa2-CIDRa1.1 head structure with DBLg6
PF0116-C.g472,PF0116-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2009,ERR022535,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg6,DBLa2-CIDRa1.1 head structure with DBLg6
PF0118-C.g844,PF0118-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2009,ERR211536,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRg1,DBLa2-CIDRa1.1 head structure with DBLg6
PF0122-C.g160,PF0122-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2009,ERR022530,varDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg4,DBLa2-CIDRa1.8 head structure with DBLg4
PF0122-C.g240,PF0122-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2009,ERR022530,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRb1,DBLa2-CIDRa1.1 head structure with DBLg6
PF0123-C.g110,PF0123-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2009,ERR023032,varDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLz2-DBLe11-DBLe3,DBLa2-CIDRa1.8 head structure with DBLg4
PF0123-C.g293,PF0123-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2009,ERR023032,varDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLz5-DBLe4,DBLa2-CIDRa1.8 head structure with DBLg4
PF0129-C.g70,PF0129-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2009,ERR211491,varDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg6-DBLd1-CIDRb5,DBLa2-CIDRa1.8 head structure with DBLg6
PF0129-C.g785,PF0129-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2009,ERR211491,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg6,DBLa2-CIDRa1.1 head structure with DBLg6
PF0136-C.g208,PF0136-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2009,ERR022922,varDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLz5-DBLe4,DBLa2-CIDRa1.8 head structure with DBLg4
PF0136-C.g70,PF0136-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2009,ERR022922,varDB,Africa,DBLa1.2-CIDRa1.1-DBLb12-DBLg4-DBLg2-DBLd1-CIDRb6,DBLa1.2-CIDRa1.1 head structure with DBLg4
PF0137-C.g326,PF0137-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2009,ERR022537,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLz3-DBLe12,DBLa2-CIDRa1.1 head structure with DBLg4
PF0142-C.g134,PF0142-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2009,ERR020122,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRg11,DBLa2-CIDRa1.1 head structure with DBLg4
PF0144-C.g1047,PF0144-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2009,ERR211492,varDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg6-DBLd1-CIDRb6,DBLa2-CIDRa1.8 head structure with DBLg6
PF0148-C.g465,PF0148-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2010,ERR019549,varDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg4,DBLa2-CIDRa1.8 head structure with DBLg4
PF0149-C.g179,PF0149-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2010,ERR211495,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRb1,DBLa2-CIDRa1.1 head structure with DBLg6
PF0152-C.g13,PF0152-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2010,ERR211530,varDB,Africa,DBLa1.2-CIDRa1.1-DBLb12-DBLg6-DBLg11-DBLd1-CIDRb1,DBLa1.2-CIDRa1.1 head structure with DBLg6
PF0154-C.g650,PF0154-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2010,ERR211524,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLe14-DBLe3,DBLa2-CIDRa1.1 head structure with DBLg4
PF0155-C.g67,PF0155-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2010,ERR211449,varDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLz5,DBLa2-CIDRa1.8 head structure with DBLg4
PF0156-C.g255,PF0156-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2010,ERR211510,varDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLz5-DBLe4,DBLa2-CIDRa1.8 head structure with DBLg4
PF0163-C.g126,PF0163-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2009,ERR211512,varDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLe14-DBLe3,DBLa2-CIDRa1.8 head structure with DBLg4
PF0163-C.g948,PF0163-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2009,ERR211512,varDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLd1-CIDRb5,DBLa2-CIDRa1.8 head structure with DBLg4
PF0167-C.g461,PF0167-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2010,ERR211454,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRb6,DBLa2-CIDRa1.1 head structure with DBLg4
PF0169-C.g849,PF0169-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2010,ERR223041,varDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLe14-DBLe3,DBLa2-CIDRa1.8 head structure with DBLg4
PF0170-C.g689,PF0170-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2010,ERR199975,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRb1,DBLa2-CIDRa1.1 head structure with DBLg4
PF0172-C.g17,PF0172-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2010,ERR045574,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRb6,DBLa2-CIDRa1.1 head structure with DBLg6
PF0172-C.g213,PF0172-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2010,ERR045574,varDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLd1-CIDRb6,DBLa2-CIDRa1.8 head structure with DBLg4
PF0175-C.g339,PF0175-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2010,ERR045575,varDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLd1-CIDRb1,DBLa2-CIDRa1.8 head structure with DBLg4
PF0178-C.g438,PF0178-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2010,ERR039235,varDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg4,DBLa2-CIDRa1.8 head structure with DBLg4
PF0178-C.g494,PF0178-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2010,ERR039235,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRb1,DBLa2-CIDRa1.1 head structure with DBLg6
PF0192-C.g328,PF0192-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2010,ERR036146,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRb1,DBLa2-CIDRa1.1 head structure with DBLg4
PF0195-C.g421,PF0195-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2010,ERR045578,varDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLz5-DBLe4,DBLa2-CIDRa1.8 head structure with DBLg4
PF0202-C.g176,PF0202-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2010,ERR032147,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRb6,DBLa2-CIDRa1.1 head structure with DBLg4
PF0206-C.g93,PF0206-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2010,ERR045581,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRb5,DBLa2-CIDRa1.1 head structure with DBLg6
PF0212-C.g1382,PF0212-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2010,ERR045584,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg4,DBLa2-CIDRa1.1 head structure with DBLg4
PF0229-C.g721,PF0229-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2010,ERR045590,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLg17-DBLz5-DBLe4,DBLa2-CIDRa1.1 head structure with DBLg6
PF0245-C.g133,PF0245-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2010,ERR039892,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg4,DBLa2-CIDRa1.1 head structure with DBLg4
PF0250-C.g435,PF0250-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2010,ERR263687,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg4,DBLa2-CIDRa1.1 head structure with DBLg4
PF0255-C.g159,PF0255-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2010,ERR045616,varDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLd1-CIDRb1,DBLa2-CIDRa1.8 head structure with DBLg4
PF0256-C.g77,PF0256-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2010,ERR045603,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRb1,DBLa2-CIDRa1.1 head structure with DBLg4
PF0262-C.g457,PF0262-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2010,ERR045605,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRb1,DBLa2-CIDRa1.1 head structure with DBLg4
PF0264-C.g824,PF0264-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2010,ERR205933,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg6,DBLa2-CIDRa1.1 head structure with DBLg6
PF0267-C.g212,PF0267-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2010,ERR045620,varDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLz5-DBLe4,DBLa2-CIDRa1.8 head structure with DBLg4
PF0267-C.g224,PF0267-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2010,ERR045620,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRb6,DBLa2-CIDRa1.1 head structure with DBLg6
PF0270-C.g583,PF0270-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2010,ERR045606,varDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg4,DBLa2-CIDRa1.8 head structure with DBLg4
PF0281-C.g468,PF0281-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2010,ERR036149,varDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLe14-DBLe3,DBLa2-CIDRa1.8 head structure with DBLg4
PF0285-C.g64,PF0285-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2010,ERR045609,varDB,Africa,DBLa1.2-CIDRa1.1-DBLb12-DBLg6-DBLg11-DBLd1-CIDRg2,DBLa1.2-CIDRa1.1 head structure with DBLg6
PF0286-C.g263,PF0286-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2010,ERR045610,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRb1,DBLa2-CIDRa1.1 head structure with DBLg6
PF0290-C.g237,PF0290-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2010,ERR045623,varDB,Africa,DBLa1.2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRg1,DBLa1.2-CIDRa1.1 head structure with DBLg6
PF0298-C.g198,PF0298-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2010,ERR029968,varDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLz5-DBLe4,DBLa2-CIDRa1.8 head structure with DBLg4
PF0299-C.g173,PF0299-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2010,ERR045611,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRb7,DBLa2-CIDRa1.1 head structure with DBLg4
PF0301-C.g233,PF0301-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2010,ERR045612,varDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLz1-DBLe9,DBLa2-CIDRa1.8 head structure with DBLg4
PF0305-C.g750,PF0305-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2010,ERR045596,varDB,Africa,DBLa1.2-CIDRa1.1-DBLb12-DBLg6-DBLg11,DBLa1.2-CIDRa1.1 head structure with DBLg6
PF0312-C.g354,PF0312-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2010,ERR039976,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1,DBLa2-CIDRa1.1 head structure with DBLg4
PF0314-C.g182,PF0314-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2010,ERR211540,varDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLz5-DBLe4,DBLa2-CIDRa1.8 head structure with DBLg4
PF0325-C.g170,PF0325-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2010,ERR045602,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRb1,DBLa2-CIDRa1.1 head structure with DBLg6
PF0325-C.g252,PF0325-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2010,ERR045602,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRb1,DBLa2-CIDRa1.1 head structure with DBLg4
PF0325-C.g452,PF0325-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2010,ERR045602,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg4,DBLa2-CIDRa1.1 head structure with DBLg4
PF0328-C.g215,PF0328-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2010,ERR211547,varDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLe14-DBLe3,DBLa2-CIDRa1.8 head structure with DBLg4
PF0328-C.g446,PF0328-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2010,ERR211547,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRb1,DBLa2-CIDRa1.1 head structure with DBLg6
PF0332-C.g173,PF0332-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2010,ERR042718,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRg2,DBLa2-CIDRa1.1 head structure with DBLg4
PF0337-C.g62,PF0337-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2011,ERR039945,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRb5,DBLa2-CIDRa1.1 head structure with DBLg4
PF0344-C.g75,PF0344-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2010,ERR042709,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRb6,DBLa2-CIDRa1.1 head structure with DBLg4
PF0345-C.g4738,PF0345-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2010,ERR211464,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRb5,DBLa2-CIDRa1.1 head structure with DBLg4
PF0345-C.g4929,PF0345-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2010,ERR211464,varDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLz1-DBLe6,DBLa2-CIDRa1.8 head structure with DBLg4
PF0347-C.g566,PF0347-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2009,ERR039944,varDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLz2-DBLe4,DBLa2-CIDRa1.8 head structure with DBLg4
PF0356-C.g150,PF0356-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2010,ERR042640,varDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLz5-DBLe4,DBLa2-CIDRa1.8 head structure with DBLg4
